Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Welcome to this survey about the impact of working remotely on employee experience. This survey is conducted for a group research project at the University of Utrecht. Do you consent to take part in our research?,In what kind of place do you typically work?,(In your main job) have you spent at least one full day in the last four weeks working...,How frequently did you work from home in the last four weeks?,All in all I am satisfied with my job,"In general, I don’t like my job","In general, I like working where I currently work",How would you rate your productivity when working remotely compared to working in the office?,Do you believe that remote work flexibility has improved your quality of work?,When I work remotely I complete more tasks than when at the office?,Does the flexibility in remote work schedules help you complete tasks on time?,When working from home I work better than working from the office?,I am willing to put in a great deal of effort beyond that normally expected in order to help this organization be successful,I talk up this organization to my friends as a great organization to work for,I would accept almost any types of job assignment in order to keep working for this organization,I find that my values and the organization’s values are very similar,I am proud to tell others that I am part of this organization,This organization really inspires the very best in me in the way of job performance,I am extremely glad that I chose this organization to work for over others I was considering at the time I joined,I really care about the fate of this organization,"For me, this is the best of all possible organizations for which to work",I currently have a good balance between the time I spend at work and the time I have available for non-work activities.,I have sufficient time away from my job to maintain adequate well-being.,I am satisfied with my work-life balance.,My personal life suffers because of work.,When I get home I am often too exhausted to participate in family activities.,The problem-solving behaviours I use in my job are not effective in resolving problems at home.,My personal life suffers because of work.,The time i spend on family responsibilities often interferes with my work.,"Due to stress at home, I am often preoccupied with family matters at work.",The behaviours that work for me at home do not seem to be effective at work.,1) I found new ways to deliver better results,2) I discovered better use of IS (Information System resources) to achieve better results,3) I was able to use new methods to achieve my work target,4) I found better ways to get more work done whilst working remotely,I desire to continue with remote working,I find it more difficult to focus during remote work,I find remote working beneficial both for the company I work for and for myself,I feel emotionally exhausted with the workload given.,The autonomy and flexibility of remote work decrease my level of stress and enhance my mental health.,My emotional well-being is negatively affected by the lack of social support from my colleagues.,Working remotely gives me a greater sense of control over my tasks(autonomy) which reduces my anxiety.,The feeling of isolation makes me less motivated to complete my duties.,I find myself to be more productive and relaxed when following a daily routine,What is your gender?,What is your age?,"Do you work right now, or have you worked in the last year?",In what job industry was/is this work?,How many years of experience do you have in your (current/last years) job? (numbers only),What is the highest level of education that you have completed?,What is your type of employment?
10/10/2024 02:05,10/10/2024 02:10,0,*******,100,291,1,10/10/2024 02:10,R_8dKFszJpChb1XWU,*******,*******,*******,*******,,,anonymous,NL,1,1,4,3,,4,2,4,3,3,9,7,4,1,1,1,4,1,2,2,1,2,2,2,2,3,4,2,5,6,6,5,10,4,4,4,4,4,2,3,3,3,3,3,4,2,18,1,19,0,2,2
10/10/2024 02:06,10/10/2024 02:21,0,*******,100,894,1,10/10/2024 02:21,R_8O8u3JDAuHncjv4,*******,*******,*******,*******,,,anonymous,NL,1,1,1,,,2,5,2,2,2,6,9,3,5,5,2,5,5,2,4,5,2,4,4,4,2,2,4,2,1,2,4,4,1,5,4,6,4,4,4,4,4,4,2,5,2,51,1,21,14,3,5
10/10/2024 02:36,10/10/2024 02:46,0,*******,100,567,1,10/10/2024 02:46,R_2idXKqHUBzvoucx,*******,*******,*******,*******,,,anonymous,NL,1,1,1,,,1,5,1,1,1,6,7,3,7,5,4,5,5,5,7,7,5,3,3,3,3,4,4,4,7,7,4,10,5,5,6,7,1,5,3,4,3,3,2,4,2,56,1,14,16,3,1
10/10/2024 03:38,10/10/2024 03:43,0,*******,100,351,1,10/10/2024 03:43,R_871NAmo5gBGVjHw,*******,*******,*******,*******,,,anonymous,NL,1,1,4,1,1,2,4,2,2,1,8,9,3,4,5,2,7,5,4,5,5,4,1,1,2,4,7,2,5,6,4,2,10,5,5,6,7,6,5,2,4,4,5,3,4,1,23,1,5,2,3,1
10/10/2024 03:46,10/10/2024 03:51,0,*******,100,352,1,10/10/2024 03:51,R_8olirYb9ZE3S8St,*******,*******,*******,*******,,,anonymous,NL,1,1,1,,,2,5,1,1,1,6,7,2,4,4,4,4,4,4,4,4,4,1,1,1,5,4,1,7,4,4,1,6,5,5,7,7,1,5,3,5,3,5,3,5,1,37,1,5,17,4,5
10/10/2024 03:38,10/10/2024 04:09,0,*******,100,1891,1,10/10/2024 04:09,R_2to2yoZg6ufQaxT,*******,*******,*******,*******,,,anonymous,EN,1,1,4,1,1,2,5,2,4,4,10,7,5,3,7,2,5,5,4,7,4,4,1,1,2,4,2,1,5,6,6,7,4,5,4,5,6,4,3,1,3,1,3,1,4,2,22,1,1,0.5,2,3
10/10/2024 06:01,10/10/2024 06:11,0,*******,100,615,1,10/10/2024 06:11,R_8OStGrDTJTTcj1n,*******,*******,*******,*******,,,anonymous,EN,0.699999988,1,4,1,1,2,4,2,3,2,9,7,4,5,5,2,5,5,4,5,5,5,1,1,2,4,5,5,5,6,7,5,10,6,6,7,6,4,4,2,4,2,4,2,4,1,26,1,6,3,2,1
10/10/2024 06:45,10/10/2024 06:59,0,*******,100,849,1,10/10/2024 06:59,R_2X5KfXWn7CPiF3j,*******,*******,*******,*******,,,anonymous,NL,1,1,1,,,1,5,1,1,1,6,1,2,4,5,1,7,4,7,7,5,7,1,1,1,5,7,7,7,7,7,7,6,7,7,5,7,1,3,1,5,1,5,1,5,2,56,1,4,10,2,5
10/10/2024 07:11,10/10/2024 07:21,0,*******,100,557,1,10/10/2024 07:21,R_8sXfwHjZF6e3Cxf,*******,*******,*******,*******,,,anonymous,NL,1,1,8,1,1,2,3,3,1,2,6,9,3,5,2,2,4,4,2,4,4,4,5,4,5,2,2,2,2,7,7,2,6,5,5,5,6,4,4,4,3,4,2,1,3,1,57,1,5,30,4,1
10/10/2024 07:27,10/10/2024 07:38,0,*******,100,633,1,10/10/2024 07:38,R_2GyrQ0uAb03CAG2,*******,*******,*******,*******,,,anonymous,NL,1,1,4,2,1,3,3,3,5,5,11,1,6,1,4,1,5,5,2,4,5,5,1,1,1,5,2,4,7,7,7,4,10,1,6,1,7,1,3,1,3,1,3,1,4,1,20,1,19,2,2,2
10/10/2024 07:30,10/10/2024 07:40,0,*******,100,597,1,10/10/2024 07:40,R_8sjeryV7207jsLm,*******,*******,*******,*******,,,anonymous,NL,0.899999976,1,4,3,,3,2,3,3,3,9,7,4,1,1,1,2,4,1,5,4,1,1,1,1,5,5,5,7,7,6,4,10,4,6,5,5,5,3,3,3,2,3,3,3,1,20,1,19,5,2,6
10/10/2024 09:15,10/10/2024 09:20,0,*******,100,296,1,10/10/2024 09:20,R_8Gwgi3jjYHkAnNn,*******,*******,*******,*******,,,anonymous,NL,0.600000024,1,4,3,,3,2,3,2,2,8,8,3,4,2,2,1,2,1,4,2,1,1,1,1,5,5,2,7,7,7,5,6,4,5,5,7,1,5,2,4,2,4,1,4,1,20,1,20,1,3,2
10/10/2024 10:57,10/10/2024 11:13,0,*******,100,986,1,10/10/2024 11:13,R_8PaKnQ4m9P0O48S,*******,*******,*******,*******,,,anonymous,NL,0.600000024,1,4,2,1,2,4,2,4,2,10,8,5,4,5,2,5,5,5,4,5,2,2,2,2,4,5,5,5,7,7,2,7,5,7,4,1,6,3,2,4,1,2,4,5,1,22,1,6,1,3,1
10/10/2024 13:00,10/10/2024 13:05,0,*******,100,265,1,10/10/2024 13:05,R_2Jef3UULQ7szJEZ,*******,*******,*******,*******,,,anonymous,NL,1,1,8,1,1,1,5,1,1,1,6,8,2,4,5,2,5,5,5,5,5,5,2,2,2,4,5,7,7,7,7,7,6,1,5,6,7,4,5,3,5,2,5,1,4,2,33,1,23,1,3,5
11/10/2024 03:53,11/10/2024 04:00,0,*******,100,391,1,11/10/2024 04:00,R_8s1dmersZ5Qh07p,*******,*******,*******,*******,,,anonymous,NL,1,1,1,,,1,1,1,4,3,10,8,4,5,7,4,7,7,5,4,5,5,3,2,2,3,1,4,2,4,7,5,10,5,5,6,7,5,3,2,3,2,4,3,4,1,19,1,22,2.5,2,2
11/10/2024 11:28,11/10/2024 11:36,0,*******,100,507,1,11/10/2024 11:36,R_2kqw73BshlYLeXD,*******,*******,*******,*******,,,anonymous,NL,1,1,1,,,1,5,1,1,1,6,8,2,5,5,6,7,5,5,7,7,5,4,2,4,2,5,5,4,6,7,5,10,4,6,7,7,1,5,2,5,2,4,1,5,1,20,1,19,5,2,2
11/10/2024 11:32,11/10/2024 11:40,0,*******,100,465,1,11/10/2024 11:40,R_260ocAvSDcFU1XP,*******,*******,*******,*******,,,anonymous,NL,1,1,8,2,1,1,5,1,2,2,8,8,4,5,5,4,5,5,5,5,5,4,2,2,3,3,4,5,7,6,6,5,6,6,6,6,6,5,4,2,4,2,3,2,4,1,53,1,4,7,4,1
11/10/2024 11:49,11/10/2024 12:02,0,*******,100,746,1,11/10/2024 12:02,R_2qatTLlSrqptYWo,*******,*******,*******,*******,,,anonymous,NL,1,1,4,3,,2,4,2,5,5,11,1,6,5,4,4,4,5,2,5,5,4,4,4,4,2,5,5,5,4,6,7,4,5,4,1,1,5,1,2,1,2,1,3,2,1,50,1,7,25,,1
11/10/2024 14:08,11/10/2024 14:19,0,*******,100,683,1,11/10/2024 14:19,R_2BgkOgzdJPpfhvv,*******,*******,*******,*******,,,anonymous,NL,1,1,4,1,2,2,4,2,3,3,9,8,4,5,4,4,4,5,4,4,4,4,2,1,2,3,5,4,5,6,7,5,4,4,4,4,6,4,3,2,4,4,4,2,3,2,58,1,23,5,2,2
10/10/2024 10:32,12/10/2024 06:09,0,*******,100,156979,1,12/10/2024 06:09,R_2G4shc0TEMFkkMN,*******,*******,*******,*******,,,anonymous,NL,0.899999976,1,8,3,,2,4,2,3,3,9,7,4,4,2,4,2,2,2,2,5,1,5,3,5,2,2,7,2,4,4,4,10,1,6,5,5,5,3,2,3,3,3,3,4,1,53,1,7,25,2,1
13/10/2024 23:23,13/10/2024 23:29,0,*******,100,329,1,13/10/2024 23:29,R_8e8G37VPU6px6G5,*******,*******,*******,*******,,,anonymous,NL,1,1,4,1,2,2,4,2,3,3,8,8,4,5,5,2,5,5,5,5,5,4,2,2,2,3,5,5,5,6,2,5,10,5,6,6,6,4,4,2,4,2,4,2,4,1,55,1,23,10,2,1
14/10/2024 06:01,14/10/2024 06:18,0,*******,100,974,1,14/10/2024 06:18,R_8spgy4KjDlZSXC1,*******,*******,*******,*******,,,anonymous,NL,0.899999976,1,4,3,,1,5,1,3,3,9,8,4,5,4,4,5,5,4,7,5,2,1,1,1,5,5,5,7,7,6,5,6,5,5,5,4,4,1,1,3,4,3,2,4,1,20,1,23,0.2,2,3
